dataset,model,method,seed,split_seed,model_seed,protected_attribute,privileged_group,unprivileged_group,n_train,n_val,n_test,accuracy,f1,spd,eod,disparate_impact,train_time_sec,single_pred_latency_ms,batch_256_latency_ms,implementation_loc_added,implementation_dependencies_added,implementation_hyperparams,implementation_stage,implementation_complexity_score,method_hyperparams,aif360_version,sklearn_version,notes
german,rf,baseline,256,256,256,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.76,0.8410596026490066,-0.1228070175438597,-0.10554699537750378,0.8526315789473684,0.11928099999204278,1.966250129044056,3.426400013267994,0,0,0,none,1,,0.6.1,1.5.2,german_extended_30seeds
german,rf,reweighing,256,256,256,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.755,0.8382838283828383,-0.06400259909031836,-0.05161787365177195,0.9226237234878241,0.10048340004868805,1.9475999288260937,3.8785000797361135,6,0,0,preprocessing,2,,0.6.1,1.5.2,german_extended_30seeds
german,rf,dir,256,256,256,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.74,0.8266666666666667,-0.3378817413905133,-0.349768875192604,0.6090225563909775,0.11141799995675683,2.905000001192093,5.71320008020848,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,german_extended_30seeds
german,rf,eqodds,256,256,256,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.735,0.8215488215488216,-0.09194282001299547,-0.06317411402157158,0.8854251012145749,0.11148039996623993,2.529549994505942,6.618049927055836,22,0,0,postprocessing,3,fit_on=validation,0.6.1,1.5.2,german_extended_30seeds
german,lr,baseline,789,789,789,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.725,0.8070175438596491,-0.1478232618583496,-0.05778120184899849,0.8037100949094046,0.005405500065535307,0.05550007335841656,0.18239999189972878,0,0,0,none,1,,0.6.1,1.5.2,german_extended_30seeds
german,lr,reweighing,789,789,789,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.725,0.8042704626334519,-0.025666016894087096,0.013097072419106404,0.9638443935926773,0.009688900085166097,0.07185002323240042,0.1132000470533967,6,0,0,preprocessing,2,,0.6.1,1.5.2,german_extended_30seeds
german,lr,dir,789,789,789,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.7,0.7931034482758621,-0.08122157244964257,-0.05778120184899849,0.8938879456706282,0.024618699913844466,1.016549882479012,2.391700050793588,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,german_extended_30seeds
german,lr,eqodds,789,789,789,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.6,0.6946564885496184,-0.005847953216374324,0.1456086286594761,0.9904306220095693,0.008809400023892522,0.11180015280842781,0.2639999147504568,22,0,0,postprocessing,3,fit_on=validation,0.6.1,1.5.2,german_extended_30seeds
german,rf,baseline,789,789,789,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.725,0.8135593220338984,-0.11208576998050679,0.007704160246533087,0.8592411260709915,0.11134159984067082,2.2034000139683485,4.986950079910457,0,0,0,none,1,,0.6.1,1.5.2,german_extended_30seeds
german,rf,reweighing,789,789,789,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.73,0.8175675675675675,0.011695906432748537,-0.0007704160246533309,1.0150375939849623,0.13366180006414652,1.9946499960497022,3.7195500917732716,6,0,0,preprocessing,2,,0.6.1,1.5.2,german_extended_30seeds
german,rf,dir,789,789,789,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.705,0.8,-0.0471085120207928,-0.08320493066255785,0.9399088271860754,0.11904039978981018,6.236299988813698,6.458450108766556,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,german_extended_30seeds
german,rf,eqodds,789,789,789,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.685,0.7820069204152249,-0.010071474983755713,0.06702619414483824,0.9865158764680295,0.11236619995906949,3.139349981211126,4.240549984388053,22,0,0,postprocessing,3,fit_on=validation,0.6.1,1.5.2,german_extended_30seeds
german,lr,baseline,1024,1024,1024,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.73,0.8211920529801324,-0.15529564652371664,-0.13405238828967647,0.8150154798761611,0.0063714999705553055,0.06120000034570694,0.18119998276233673,0,0,0,none,1,,0.6.1,1.5.2,german_extended_30seeds
german,lr,reweighing,1024,1024,1024,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.73,0.82,-0.07797270955165692,-0.071648690292758,0.9043062200956937,0.00827330001629889,0.06320001557469368,0.11464999988675117,6,0,0,preprocessing,2,,0.6.1,1.5.2,german_extended_30seeds
german,lr,dir,1024,1024,1024,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.735,0.822742474916388,-0.1692657569850552,-0.12557781201849005,0.7953652788688139,0.023032000055536628,1.2766000581905246,3.2687500352039933,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,german_extended_30seeds
german,lr,eqodds,1024,1024,1024,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.72,0.8157894736842105,-0.10266406757634827,-0.13405238828967647,0.8777089783281734,0.010583700146526098,0.1137999352067709,0.39354991167783737,22,0,0,postprocessing,3,fit_on=validation,0.6.1,1.5.2,german_extended_30seeds
german,rf,baseline,1024,1024,1024,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.755,0.8403908794788274,-0.08869395711500971,-0.014637904468412954,0.8958810068649886,0.1254149000160396,2.1451000357046723,3.3289999701082706,0,0,0,none,1,,0.6.1,1.5.2,german_extended_30seeds
german,rf,reweighing,1024,1024,1024,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.74,0.832258064516129,-0.07472384665367116,0.03929121725731899,0.9135338345864662,0.10392990009859204,2.0029499428346753,3.2723998883739114,6,0,0,preprocessing,2,,0.6.1,1.5.2,german_extended_30seeds
german,rf,dir,1024,1024,1024,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.775,0.8543689320388349,-0.10103963612735534,0.013867488443759624,0.8830827067669174,0.11939330003224313,3.0315499752759933,8.188549894839525,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,german_extended_30seeds
german,rf,eqodds,1024,1024,1024,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.75,0.8366013071895425,-0.115009746588694,-0.06009244992295837,0.8649885583524027,0.12888519978150725,2.4217001628130674,5.544550018385053,22,0,0,postprocessing,3,fit_on=validation,0.6.1,1.5.2,german_extended_30seeds
german,lr,baseline,2048,2048,2048,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.73,0.8163265306122449,-0.26835607537361916,-0.2619414483821264,0.6731301939058173,0.00674730003811419,0.04850002005696297,0.15450012870132923,0,0,0,none,1,,0.6.1,1.5.2,german_extended_30seeds
german,lr,reweighing,2048,2048,2048,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.725,0.8135593220338984,-0.14457439896036384,-0.15408320493066252,0.819838056680162,0.00837099994532764,0.06144994404166937,0.19094988238066435,6,0,0,preprocessing,2,,0.6.1,1.5.2,german_extended_30seeds
german,lr,dir,2048,2048,2048,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.7,0.7972972972972973,-0.345679012345679,-0.35285053929121735,0.5912408759124088,0.030691200168803334,1.6344999894499779,3.0956498812884092,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,german_extended_30seeds
german,lr,eqodds,2048,2048,2048,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.7,0.7902097902097902,-0.12150747238466542,-0.09476117103235748,0.8386540120793787,0.011546499794349074,0.18284993711858988,0.4035501042380929,22,0,0,postprocessing,3,fit_on=validation,0.6.1,1.5.2,german_extended_30seeds
german,rf,baseline,2048,2048,2048,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.755,0.8434504792332268,-0.15821962313190385,-0.14791987673343598,0.8232304900181487,0.2253773999400437,2.28749995585531,3.55665001552552,0,0,0,none,1,,0.6.1,1.5.2,german_extended_30seeds
german,rf,reweighing,2048,2048,2048,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.755,0.8454258675078864,-0.052956465237167016,-0.11093990755007699,0.9408348457350272,0.09651640010997653,2.1742000244557858,3.461150103248656,6,0,0,preprocessing,2,,0.6.1,1.5.2,german_extended_30seeds
german,rf,dir,2048,2048,2048,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.76,0.8481012658227848,-0.24171539961013644,-0.2727272727272727,0.7389473684210527,0.11042170017026365,3.5605999873951077,8.452950045466423,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,german_extended_30seeds
german,rf,eqodds,2048,2048,2048,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.68,0.7746478873239436,0.02079272254710851,0.03852080123266566,1.029038112522686,0.14572669961489737,2.898650011047721,5.063449963927269,22,0,0,postprocessing,3,fit_on=validation,0.6.1,1.5.2,german_extended_30seeds
german,lr,baseline,4096,4096,4096,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.755,0.8316151202749141,-0.28232618583495783,-0.16255778120184894,0.650863800723182,0.007116000168025494,0.0442001037299633,0.16639998648315668,0,0,0,none,1,,0.6.1,1.5.2,german_extended_30seeds
german,lr,reweighing,4096,4096,4096,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.73,0.8137931034482758,-0.17868745938921382,-0.08320493066255785,0.7720679651885619,0.0053830998949706554,0.04859990440309048,0.14305009972304106,6,0,0,preprocessing,2,,0.6.1,1.5.2,german_extended_30seeds
german,lr,dir,4096,4096,4096,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.725,0.8096885813148789,-0.1400259909031839,-0.02080123266563938,0.8185263157894737,0.02067300002090633,1.3572999741882086,3.493149997666478,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,german_extended_30seeds
german,lr,eqodds,4096,4096,4096,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.69,0.7720588235294118,-0.06757634827810266,0.026964560862865916,0.8995654273297924,0.008722200058400631,0.1253499649465084,0.31670008320361376,22,0,0,postprocessing,3,fit_on=validation,0.6.1,1.5.2,german_extended_30seeds
german,rf,baseline,4096,4096,4096,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.755,0.835016835016835,-0.15692007797270946,-0.026194144838212585,0.8074162679425838,0.13434140011668205,3.2740498427301645,3.850349923595786,0,0,0,none,1,,0.6.1,1.5.2,german_extended_30seeds
german,rf,reweighing,4096,4096,4096,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.785,0.8561872909698997,-0.13677712800519815,-0.006163328197226536,0.8333992876929165,0.2007521998602897,2.4370999308303,4.676650045439601,6,0,0,preprocessing,2,,0.6.1,1.5.2,german_extended_30seeds
german,rf,dir,4096,4096,4096,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.755,0.839344262295082,-0.1413255360623782,-0.006163328197226536,0.8340961098398169,0.16205259994603693,3.7916998844593763,7.917850045487285,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,german_extended_30seeds
german,rf,eqodds,4096,4096,4096,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.655,0.7628865979381443,-0.11988304093567248,0.08397534668721107,0.8458646616541354,0.1348353000357747,5.476399906910956,6.988750072196126,22,0,0,postprocessing,3,fit_on=validation,0.6.1,1.5.2,german_extended_30seeds
german,lr,baseline,8192,8192,8192,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.71,0.8040540540540541,0.044184535412605586,0.016178736517719616,1.057263157894737,0.006223200121894479,0.09155005682259798,0.24275004398077726,0,0,0,none,1,,0.6.1,1.5.2,german_extended_30seeds
german,lr,reweighing,8192,8192,8192,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.695,0.7918088737201365,0.12768031189083828,0.0955315870570107,1.1723684210526317,0.005591699853539467,0.09430013597011566,0.24489988572895527,6,0,0,preprocessing,2,,0.6.1,1.5.2,german_extended_30seeds
german,lr,dir,8192,8192,8192,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.715,0.8054607508532423,0.030214424951267027,0.024653312788906034,1.0397946084724006,0.06161519978195429,1.988900126889348,3.1182500533759594,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,german_extended_30seeds
german,lr,eqodds,8192,8192,8192,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.63,0.7357142857142858,0.142949967511371,0.15177195685670264,1.2124577498792855,0.01438200008124113,0.2140500582754612,0.39344991091638803,22,0,0,postprocessing,3,fit_on=validation,0.6.1,1.5.2,german_extended_30seeds
german,rf,baseline,8192,8192,8192,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.725,0.8220064724919094,0.028914879792072856,0.0023112480739598817,1.0344427244582044,0.21256190002895892,4.8453499330207705,6.4923500176519156,0,0,0,none,1,,0.6.1,1.5.2,german_extended_30seeds
german,rf,reweighing,8192,8192,8192,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.735,0.8262295081967214,0.08609486679662115,0.06471494607087835,1.1064684612294093,0.20135320001281798,2.5515001034364104,3.683350048959255,6,0,0,preprocessing,2,,0.6.1,1.5.2,german_extended_30seeds
german,rf,dir,8192,8192,8192,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.74,0.8289473684210527,-0.037686809616634176,-0.04314329738058553,0.9544383346425765,0.143649100093171,3.372150124050677,6.070549949072301,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,german_extended_30seeds
german,rf,eqodds,8192,8192,8192,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.64,0.7534246575342466,0.13385315139701104,0.14637904468412943,1.1822202565236621,0.13088100007735193,2.3263500770553946,4.119049990549684,22,0,0,postprocessing,3,fit_on=validation,0.6.1,1.5.2,german_extended_30seeds
german,lr,baseline,16384,16384,16384,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.79,0.8551724137931035,-0.14619883040935677,-0.13405238828967647,0.8120300751879699,0.003851500106975436,0.04549999721348286,0.10770000517368317,0,0,0,none,1,,0.6.1,1.5.2,german_extended_30seeds
german,lr,reweighing,16384,16384,16384,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.765,0.8395904436860068,0.06270305393112408,-0.017719568567026167,1.0832614322691976,0.004030900076031685,0.04630000330507755,0.11139991693198681,6,0,0,preprocessing,2,,0.6.1,1.5.2,german_extended_30seeds
german,lr,dir,16384,16384,16384,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.76,0.8356164383561644,-0.2235217673814165,-0.2249614791987674,0.7214574898785425,0.019570999778807163,1.0862000053748488,2.6456500636413693,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,german_extended_30seeds
german,lr,eqodds,16384,16384,16384,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.605,0.6973180076628352,0.03281351526965559,0.1456086286594761,1.0548019533369506,0.005536099895834923,0.12909993529319763,0.2831999445334077,22,0,0,postprocessing,3,fit_on=validation,0.6.1,1.5.2,german_extended_30seeds
german,rf,baseline,16384,16384,16384,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.765,0.8459016393442623,-0.07634827810266398,-0.12249614791987673,0.9090557275541796,0.21146220015361905,4.291950026527047,8.454100112430751,0,0,0,none,1,,0.6.1,1.5.2,german_extended_30seeds
german,rf,reweighing,16384,16384,16384,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.755,0.8403908794788274,-0.08869395711500971,-0.12249614791987673,0.8958810068649886,0.20343400002457201,2.9716501012444496,5.506850080564618,6,0,0,preprocessing,2,,0.6.1,1.5.2,german_extended_30seeds
german,rf,dir,16384,16384,16384,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.77,0.847682119205298,-0.09031838856400265,-0.006163328197226536,0.8908091123330715,0.15241479990072548,5.001100013032556,6.357999984174967,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,german_extended_30seeds
german,rf,eqodds,16384,16384,16384,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.765,0.8459016393442623,-0.07634827810266398,-0.12249614791987673,0.9090557275541796,0.12560429982841015,3.755250130780041,5.865350016392767,22,0,0,postprocessing,3,fit_on=validation,0.6.1,1.5.2,german_extended_30seeds
german,lr,baseline,32768,32768,32768,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.755,0.8338983050847457,-0.07959714100064974,-0.12557781201849005,0.8992598684210527,0.004415600094944239,0.061700004152953625,0.18124992493540049,0,0,0,none,1,,0.6.1,1.5.2,german_extended_30seeds
german,lr,reweighing,32768,32768,32768,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.77,0.8456375838926175,0.0643274853801169,0.06471494607087835,1.0827067669172932,0.0054737001191824675,0.060449936427176,0.12545008212327957,6,0,0,preprocessing,2,,0.6.1,1.5.2,german_extended_30seeds
german,lr,dir,32768,32768,32768,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.745,0.8282828282828283,-0.09194282001299547,-0.17950693374422189,0.8854251012145749,0.02746010012924671,1.6187999863177538,3.2358499011024833,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,german_extended_30seeds
german,lr,eqodds,32768,32768,32768,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.455,0.4630541871921182,-0.03151397011046131,-0.12865947611710324,0.9018218623481782,0.008579500019550323,0.12425007298588753,0.32554997596889734,22,0,0,postprocessing,3,fit_on=validation,0.6.1,1.5.2,german_extended_30seeds
german,rf,baseline,32768,32768,32768,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.76,0.8410596026490066,-0.025341130604288442,0.0023112480739598817,0.9688995215311006,0.10849709995090961,2.7459999546408653,7.077299989759922,0,0,0,none,1,,0.6.1,1.5.2,german_extended_30seeds
german,rf,reweighing,32768,32768,32768,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.745,0.8349514563106796,0.028914879792072856,-0.014637904468412954,1.0344427244582044,0.16835909988731146,2.100900048390031,3.7154998863115907,6,0,0,preprocessing,2,,0.6.1,1.5.2,german_extended_30seeds
german,rf,dir,32768,32768,32768,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.77,0.8486842105263158,-0.037686809616634176,-0.06856702619414479,0.9544383346425765,0.12620060006156564,3.0336499912664294,5.409150035120547,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,german_extended_30seeds
german,rf,eqodds,32768,32768,32768,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.655,0.7578947368421053,0.07959714100064974,0.16332819722650227,1.1121281464530892,0.10252059972845018,2.0772499265149236,3.6094499519094825,22,0,0,postprocessing,3,fit_on=validation,0.6.1,1.5.2,german_extended_30seeds
german,lr,baseline,65537,65537,65537,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.75,0.823943661971831,-0.20662768031189083,-0.23651771956856704,0.7278562259306803,0.008327700197696686,0.04789989907294512,0.15030009672045708,0,0,0,none,1,,0.6.1,1.5.2,german_extended_30seeds
german,lr,reweighing,65537,65537,65537,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.73,0.8125,-0.036387264457439894,-0.1825885978428352,0.9512831665941713,0.0049403999000787735,0.04369998350739479,0.09854999370872974,6,0,0,preprocessing,2,,0.6.1,1.5.2,german_extended_30seeds
german,lr,dir,65537,65537,65537,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.73,0.8098591549295775,-0.14165042235217673,-0.27349768875192604,0.8103523270987386,0.02014410006813705,0.9916999842971563,2.27170018479228,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,german_extended_30seeds
german,lr,eqodds,65537,65537,65537,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.725,0.8028673835125448,-0.1757634827810266,-0.19414483821263484,0.7586975914362177,0.007852300070226192,0.11110003106296062,0.23950007744133472,22,0,0,postprocessing,3,fit_on=validation,0.6.1,1.5.2,german_extended_30seeds
german,rf,baseline,65537,65537,65537,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.765,0.8459016393442623,-0.20630279402209217,-0.2303543913713405,0.7612781954887219,0.09690129989758134,2.0336000015959144,3.5822000354528427,0,0,0,none,1,,0.6.1,1.5.2,german_extended_30seeds
